,Unnamed: 0.1,Unnamed: 0,Number,Name,Start,End,Link,id,namespace,orig_price,fmt_orig_price,tags,seller,taglist,action,adventure,puzzle,rpg,shooter,strategy,survival,osx,windows,singleplayer,multiplayer
358,358,358,119,The Escapists 2,7/9/2020,7/16/2020,https://store.epicgames.com/en-US/p/the-escapists-2,70c286b7eb704c9eaa59e66571447092,115577f4ef1e4055aaf0da534fdfe81e,1999.0,$19.99,"['21122', '1188', '21894', '21127', '9547', '1263', '15375', '1393', '21137', '21138', '21139', '21140', '21141', '1115', '21149', '21119']",,"[{'id': '21122'}, {'id': '1188'}, {'id': '21894'}, {'id': '21127'}, {'id': '9547'}, {'id': '1263'}, {'id': '15375'}, {'id': '1393'}, {'id': '21137'}, {'id': '21138'}, {'id': '21139'}, {'id': '21140'}, {'id': '21141'}, {'id': '1115'}, {'id': '21149'}, {'id': '21119'}]",False,False,False,False,False,True,False,False,True,False,False
359,359,359,118,Hue,7/2/2020,7/9/2020,https://store.epicgames.com/en-US/p/hue,d4497261293046f58c0a429a11a7d852,cd88d9edc5a748cfa138e467205adcac,1499.0,$14.99,"['1298', '1370', '9547', '1117', '1151']",,"[{'id': '1298'}, {'id': '1370'}, {'id': '9547'}, {'id': '1117'}, {'id': '1151'}]",False,True,True,False,False,False,False,False,True,True,False
360,360,360,117,Stranger Things 3: The Game,6/25/2020,7/2/2020,https://store.epicgames.com/en-US/p/stranger-things-3-the-game,,,,,,,,False,False,False,False,False,False,False,False,False,False,False
361,361,361,116,AER Memories of Old,6/25/2020,7/2/2020,https://store.epicgames.com/en-US/p/aer-memories-of-old,ddbac5b8afd64e36a63d6904e0ef7e41,f3720f53cccb4a20841a392a8ea0457f,1499.0,$14.99,"['1381', '19847', '1370', '1307', '9547', '1117']",,"[{'id': '1381'}, {'id': '19847'}, {'id': '1370'}, {'id': '1307'}, {'id': '9547'}, {'id': '1117'}]",False,True,False,False,False,False,False,False,True,True,False
362,362,362,115,Pathway,6/18/2020,6/25/2020,https://store.epicgames.com/en-US/p/pathway,8c02538c55314c22b0e2216502bdac20,eb9117fdc2a1493ba4e8a4e1d2286e2f,1699.0,$16.99,"['1370', '1386', '1083', '1115', '9547', '10719', '15375']",,"[{'id': '1370'}, {'id': '1386'}, {'id': '1083'}, {'id': '1115'}, {'id': '9547'}, {'id': '10719'}, {'id': '15375'}]",False,False,False,False,False,True,False,False,True,True,False
363,363,363,114,Ark: Survival Evolved,6/11/2020,6/18/2020,https://store.epicgames.com/en-US/p/ark,16b7c8509ea8427898981145d244316c,ark,1499.0,$14.99,"['21122', '1188', '21125', '21129', '9547', '21138', '21139', '21140', '21141', '1367', '1080', '1370', '21146', '21147', '1117', '21149']",Studio Wildcard,"[{'id': '21122'}, {'id': '1188'}, {'id': '21125'}, {'id': '21129'}, {'id': '9547'}, {'id': '21138'}, {'id': '21139'}, {'id': '21140'}, {'id': '21141'}, {'id': '1367'}, {'id': '1080'}, {'id': '1370'}, {'id': '21146'}, {'id': '21147'}, {'id': '1117'}, {'id': '21149'}]",False,True,False,False,False,False,True,False,True,True,False
364,364,364,113,Samurai Shodown NeoGeo Collection,6/11/2020,6/18/2020,https://store.epicgames.com/en-US/p/samurai-shodown-neogeo-collection,b3678744f16842debd1f2d57fbe12e9c,3e84a6d0684b4f7593e6bf88bee0cbaf,3999.0,$39.99,"['1344', '1203', '21894', '9547']",SNK CORPORATION,"[{'id': '1344'}, {'id': '1203'}, {'id': '21894'}, {'id': '9547'}]",False,False,False,False,False,False,False,False,True,False,True
365,365,365,112,Overcooked,6/4/2020,6/11/2020,https://store.epicgames.com/en-US/p/overcooked,eed2eaea15864c52a7fe8c122dd6ce03,epic,1699.0,$16.99,"['1216', '1264', '1393', '1370', '9547', '9549', '1263']",,"[{'id': '1216'}, {'id': '1264'}, {'id': '1393'}, {'id': '1370'}, {'id': '9547'}, {'id': '9549'}, {'id': '1263'}]",True,False,False,False,False,False,False,False,True,True,False
366,366,366,111,Sludge Life,5/28/2020,5/28/2021,https://store.epicgames.com/en-US/p/sludge-life,1e2dec7f41314405bac12eb74c20254f,epic,1499.0,$14.99,"['9547', '1117']",,"[{'id': '9547'}, {'id': '1117'}]",False,True,False,False,False,False,False,False,True,False,False
367,367,367,110,Borderlands: The Handsome Collection,5/28/2020,6/4/2020,https://store.epicgames.com/en-US/bundles/borderlands-the-handsome-collection,a61c6602b5784d36801d0cab73e02337,85189f7cf7a64f86aa6aa91d81d36c08,5999.0,$59.99,"['1264', '1203', '1367', '1210', '1370', '9547', '9549', '15375']",,"[{'id': '1264'}, {'id': '1203'}, {'id': '1367'}, {'id': '1210'}, {'id': '1370'}, {'id': '9547'}, {'id': '9549'}, {'id': '15375'}]",False,False,False,False,True,False,False,False,True,True,True
