,Unnamed: 0.1,Unnamed: 0,Number,Name,Start,End,Link,id,descr,namespace,orig_price,fmt_orig_price,tags,seller,taglist,action,adventure,puzzle,rpg,shooter,strategy,survival,osx,windows,singleplayer,multiplayer
43,43,43,434,Q.U.B.E. 2,10/12/2023,10/19/2023,https://store.epicgames.com/en-US/bundles/qube-ultimate-bundle,0c8b6d95ff2746648ccd356dbf941c12,"As stranded archaeologist, Amelia Cross, you must solve the puzzles of this mysterious world and find a way back home.",4b5f1eb366dc45f0920d397c01b291ba,2499.0,$24.99,"['1298', '19847', '1370', '9547', '1117', '9549', '1294']",,"[{'id': '1298'}, {'id': '19847'}, {'id': '1370'}, {'id': '9547'}, {'id': '1117'}, {'id': '9549'}, {'id': '1294'}]",False,True,True,False,False,False,False,False,True,True,False
44,44,44,433,Q.U.B.E. 10th Anniversary,10/12/2023,10/19/2023,https://store.epicgames.com/en-US/bundles/qube-ultimate-bundle,4c61edc4573143c5a06d521f5a7f32fe,"Entirely rebuilt from the ground up, Q.U.B.E. 10th Anniversary is the ultimate celebration of the decade-old original, bringing refined visuals, completely redesigned and revised gameplay sections, and a whole new chapter to the award-winning, brain-twisting first-person puzzler",ad43401ad02840c2b2bee5f1f1a59988,1999.0,$19.99,"['1298', '19847', '1336', '1370', '9547', '1294', '21150']",,"[{'id': '1298'}, {'id': '19847'}, {'id': '1336'}, {'id': '1370'}, {'id': '9547'}, {'id': '1294'}, {'id': '21150'}]",False,False,True,False,False,False,False,False,True,True,False
45,45,45,432,Blazing Sails,10/12/2023,10/19/2023,https://store.epicgames.com/en-US/p/blazing-sails,363d0be3b57d4741a046d38da0e6355e,"Fight for survival in Blazing Sails, a fast-paced pirate PvP game! Create your own unique pirate and ship. Band together with other players to command your mighty vessel! Explore different game-modes, maps, weapons, ship types and more while eliminating other crews in epic battles on land and sea!",aee7dd76aa6746578f476dc47f8d1d7f,1499.0,$14.99,"['1216', '1264', '21138', '1203', '21139', '21140', '21125', '21141', '9547', '35244', '21149', '21119']",,"[{'id': '1216'}, {'id': '1264'}, {'id': '21138'}, {'id': '1203'}, {'id': '21139'}, {'id': '21140'}, {'id': '21125'}, {'id': '21141'}, {'id': '9547'}, {'id': '35244'}, {'id': '21149'}, {'id': '21119'}]",True,False,False,False,False,False,False,False,True,False,True
46,46,46,431,Godlike Burger,10/5/2023,10/12/2023,https://epicgames.com/product/godlike-burger-4150a0,d9300ace164b41ac90a7b54e59d47953,"In Godlike Burger you run the craziest restaurant of the galaxy! Stun, poison and kill customers in many devious ways… and turn them into burger meat! And don’t worry: Alien customers will keep coming if you are smart about it, because cannibalism is just too damn tasty.",beb7e64d3da74ae780405da48cccb581,1999.0,$19.99,"['1216', '21894', '19847', '1083', '9547', '9549', '1263', '10719']",,"[{'id': '1216'}, {'id': '21894'}, {'id': '19847'}, {'id': '1083'}, {'id': '9547'}, {'id': '9549'}, {'id': '1263'}, {'id': '10719'}]",True,False,False,False,False,False,False,False,True,False,False
47,47,47,430,Soulstice,9/28/2023,10/5/2023,https://store.epicgames.com/en-US/p/soulstice,4b19305fb8ec4640b4fa8d6ea5e5e3c4,"Explore a dark world brimming with hidden mysteries, master a diverse combat system, and inhabit the dual forces of two sisters in a coming-of-age dark fantasy story with fast-paced action, vicious enemies, and spectacular boss fights.",cb8afc06acb14f6a8cf3ab01f4b361ce,3999.0,$39.99,"['1216', '21109', '1367', '19847', '20151', '20152', '9547', '20155', '20156', '9549']",,"[{'id': '1216'}, {'id': '21109'}, {'id': '1367'}, {'id': '19847'}, {'id': '20151'}, {'id': '20152'}, {'id': '9547'}, {'id': '20155'}, {'id': '20156'}, {'id': '9549'}]",True,False,False,False,False,False,False,False,True,False,False
48,48,48,429,Model Builder,9/28/2023,10/5/2023,https://store.epicgames.com/en-US/p/model-builder-f9b456,d3e5b556640144bfa5de2d5d3b283d68,"Join the latest trend in simulation games, bring out your creativity and make awesome looking models. Assemble, customize and display your creations, whether you’re a veteran or a novice. Get building, and get creative!",23499f64e5304139b514c3e674c5c0d6,1999.0,$19.99,"['1393', '19847', '1370', '9547', '35244']",,"[{'id': '1393'}, {'id': '19847'}, {'id': '1370'}, {'id': '9547'}, {'id': '35244'}]",False,False,False,False,False,False,False,False,True,True,False
49,49,49,428,The Forest Quartet,9/21/2023,9/28/2023,https://store.epicgames.com/en-US/p/forest-quartet-5d03e3,4286fb03f8984923a63be6a856945c50,"The Forest Quartet is a 3D narrative puzzler about a gone, but not forgotten, lead singer. Play her spirit and travel through 3 acts unique to the members of her band for a final farewell concert. Face their emotions, solve puzzles and fight the corruption plaguing their souls.",a3100205e194489088c7625c8c5c1596,999.0,$9.99,"['1298', '19847', '1129', '1370', '9547', '1117', '9549', '15375']",,"[{'id': '1298'}, {'id': '19847'}, {'id': '1129'}, {'id': '1370'}, {'id': '9547'}, {'id': '1117'}, {'id': '9549'}, {'id': '15375'}]",False,True,True,False,False,False,False,False,True,True,False
50,50,50,427,Out of Line,9/21/2023,9/28/2023,https://store.epicgames.com/en-US/p/out-of-line-209cbb,b1faf4597f064576a7ad60efff9d2a9a,A unique adventure game filled with beautiful puzzles all hand-drawn in a unique 2D style . Out of Line follows the adventures of San in a quest to escape the Factory that was once home. Dive into a story set in a mysterious world that is revealed through multiple chapters.,0f58cd1c026441f49371d663a710fe83,799.0,$7.99,"['1298', '21894', '1336', '1370', '9547', '1151', '15375']",,"[{'id': '1298'}, {'id': '21894'}, {'id': '1336'}, {'id': '1370'}, {'id': '9547'}, {'id': '1151'}, {'id': '15375'}]",False,False,True,False,False,False,False,False,True,True,False
51,51,51,426,911 Operator,9/14/2023,9/21/2023,https://store.epicgames.com/en-US/p/911-operator-585edd,268fd6ea355740d6ba4c76c3ffd4cbe0,"A game about the difficult work of people that manage emergency services. Answer incoming calls and react properly - give first aid instructions, advise, dispatch the correct number of firemen/police/ambulances, or sometimes - just ignore the call. Play on ANY CITY in the world!",d923c737f0d243ccab407605ea40d39e,1499.0,$14.99,"['1393', '21121', '19847', '1370', '1115', '9547', '1263', '21119']",,"[{'id': '1393'}, {'id': '21121'}, {'id': '19847'}, {'id': '1370'}, {'id': '1115'}, {'id': '9547'}, {'id': '1263'}, {'id': '21119'}]",False,False,False,False,False,True,False,False,True,True,False
52,52,52,425,Spelldrifter,9/7/2023,9/14/2023,https://store.epicgames.com/en-US/p/spelldrifter,98050bc663334e2c9c99e596084bab0f,"Spelldrifter combines the puzzle-like positional tactics of a turn-based RPG with the customizability and replayability of a collectible card game.  The result: a hybrid, wherein players must juggle the resources at their disposal using both time and space.",14d712e338ee4fe5b5304d959cd75cd2,1999.0,$19.99,"['21894', '1367', '1370', '9547', '9549', '1230', '15375']",,"[{'id': '21894'}, {'id': '1367'}, {'id': '1370'}, {'id': '9547'}, {'id': '9549'}, {'id': '1230'}, {'id': '15375'}]",False,False,False,False,False,False,False,False,True,True,False
